time,q3,dq3,ddq3,q3_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,
48.9032,0.016829244,-0.002467431,-0.010909204,-4.695052464,-5.148480782,48.3570735,-5.282905793,2.9209958,2.751738664,-4.354182559,-1.176869872,-4.151527256,,
48.9193,0.016792175,-0.002520286,-0.011250353,-5.100775732,-5.15882569,47.8460509,-5.296442437,2.8850327,2.400126754,-4.350407612,-1.239783069,-4.534824015,,
48.9347,0.016751772,-0.002586522,-0.009529677,-5.410909348,-5.171789318,47.3249859,-5.313107922,2.8457209,2.349093029,-4.352427693,-1.305603705,-4.95895574,,
48.9502,0.016708128,-0.002673062,-0.007007258,-5.583335127,-5.188726871,46.7900454,-5.334403614,2.8014676,2.334245988,-4.360571578,-1.374924716,-5.341380075,,
48.9663,0.01666263,-0.002787267,-0.006262122,-5.622885159,-5.21107885,46.2360464,-5.361720286,2.7505189,2.413931718,-4.37427184,-1.447984222,-5.613718426,,
48.982,0.016616833,-0.002920799,-0.008925192,-5.574286075,-5.237213685,45.6596121,-5.392595923,2.6943537,2.344668604,-4.392411673,-1.524668449,-5.747145688,,
48.9977,0.016571496,-0.003042647,-0.013774218,-5.50764697,-5.261061618,45.0635646,-5.419835368,2.6393113,2.889721939,-4.413786105,-1.604619876,-5.750763439,,
49.0134,0.016526485,-0.003119207,-0.017307193,-5.478922587,-5.276046021,44.4572017,-5.436521041,2.5925865,2.473971708,-4.437561724,-1.687431784,-5.668183011,,
49.0288,0.0164813,-0.003146321,-0.016654491,-5.481444488,-5.281352718,43.8503542,-5.442353797,2.5555097,2.179579517,-4.463430516,-1.77282066,-5.563280993,,
49.045,0.016435475,-0.003156932,-0.012023893,-5.44386481,-5.283429433,43.2462477,-5.444625704,2.5216385,2.075463382,-4.491222168,-1.860612934,-5.485430485,,
49.0599,0.016388507,-0.003191884,-0.006050028,-5.290459108,-5.290270257,42.6402523,-5.452067558,2.4825362,2.284765298,-4.520247802,-1.95051325,-5.434045499,,
49.0748,0.016339599,-0.003264014,-0.001006248,-5.004719841,-5.304387548,42.0254667,-5.467225694,2.4352555,2.352857087,-4.548986758,-2.04183971,-5.358438614,,
49.0901,0.016287777,-0.003352141,0.002714995,-4.630574374,-5.321635666,41.3991711,-5.485392258,2.3838845,2.585888068,-4.575392164,-2.13345417,-5.127524466,,
49.1057,0.016232593,-0.00342574,0.005525267,-4.218650682,-5.336040388,40.7644012,-5.500277364,2.3346909,2.173190269,-4.59745222,-2.223915237,-4.905932188,,
49.1214,0.016174883,-0.003471056,0.007036242,-3.783728362,-5.344909598,40.1266305,-5.509316777,2.2907168,2.013492724,-4.613462534,-2.311671802,-4.546612352,,
49.1372,0.016116663,-0.003496245,0.006176483,-3.313535549,-5.349839517,39.4896694,-5.51430084,2.2505285,2.244158747,-4.62189573,-2.395132146,-4.091916918,,
49.1522,0.016060004,-0.003518114,0.002683336,-2.804498429,-5.354119746,38.8541658,-5.518604961,2.2107887,1.839720722,-4.621200674,-2.472630314,-3.608506691,,
49.1679,0.016005831,-0.00354664,-0.002146637,-2.283333557,-5.359702799,38.2189592,-5.524187259,2.1694305,2.085195806,-4.609835774,-2.542427545,-3.127043409,,
49.1832,0.015953646,-0.003579469,-0.006462413,-1.806463024,-5.366128071,37.5833473,-5.530567502,2.1268826,1.969715946,-4.586458802,-2.602840891,-2.652434407,,
49.1988,0.015902078,-0.003606703,-0.009228026,-1.450486598,-5.37145829,36.9483952,-5.535824978,2.0851859,1.945867506,-4.550386207,-2.652496125,-2.20010742,,
49.2147,0.01584957,-0.003618195,-0.010264841,-1.296721547,-5.373707468,36.3169038,-5.538033936,2.0465325,2.309283455,-4.502001065,-2.690651631,-1.803720291,,
49.2302,0.015794959,-0.003608167,-0.009440666,-1.403543149,-5.371744897,35.692578,-5.536106773,2.0122966,2.224414203,-4.443009068,-2.717509757,-1.513321866,,
49.2455,0.015738088,-0.003578413,-0.006594085,-1.771513963,-5.365921436,35.0786877,-5.530363044,1.9823163,1.864766396,-4.376470943,-2.734388989,-1.432341065,,
49.261,0.015680096,-0.003540272,-0.002277093,-2.326879238,-5.358456466,34.476462,-5.522944207,1.9544023,1.776194719,-4.306402235,-2.743617883,-1.561682101,,
49.2764,0.015622724,-0.003511531,0.001938449,-2.952504273,-5.352831253,33.8840877,-5.517311522,1.9248946,1.910238941,-4.236982454,-2.748112427,-1.87815737,,
49.2919,0.015566796,-0.003509316,0.004090117,-3.555317702,-5.352397875,33.296945,-5.516876047,1.8900936,2.166984268,-4.171769206,-2.75081084,-2.297952087,,
49.3077,0.015511244,-0.003546896,0.002801187,-4.104424311,-5.359752892,32.7083615,-5.524237184,1.8469412,1.637936679,-4.113408081,-2.754272511,-2.881309501,,
49.3234,0.015453873,-0.003634812,-0.001886501,-4.593729179,-5.376959871,32.1101473,-5.541218263,1.7928199,2.251221168,-4.064339335,-2.760582209,-3.609844852,,
49.3396,0.015393255,-0.00377553,-0.008126248,-4.982914912,-5.404501085,31.4939869,-5.567724514,1.7267075,1.527930887,-4.02496403,-2.771369665,-4.414451346,,
49.3556,0.015329881,-0.003950987,-0.012979668,-5.208187271,-5.438841252,30.8547872,-5.599678816,1.6518777,2.000506037,-3.996279839,-2.78769217,-5.206084033,,
49.3701,0.015265508,-0.004121966,-0.014336696,-5.253890946,-5.472305307,30.1939543,-5.629725047,1.576236,1.877708456,-3.977579422,-2.809840034,-5.752370408,,
49.3895,0.015201544,-0.004249686,-0.012531262,-5.183650428,-5.497302495,29.5190413,-5.651508891,1.5079885,1.684340196,-3.967208106,-2.837356822,-5.818577684,,
49.4021,0.015138118,-0.004320307,-0.009856661,-5.084804972,-5.511124435,28.8395216,-5.663323048,1.4504797,1.214051309,-3.963381132,-2.869369756,-5.524459066,,
49.4178,0.015074463,-0.004347705,-0.008293375,-4.990748593,-5.516486636,28.1623565,-5.667863306,1.4013617,1.406952007,-3.964769444,-2.904974226,-5.102739152,,
49.4335,0.015009917,-0.004356087,-0.007741422,-4.859889628,-5.518127242,27.4905068,-5.669247692,1.3559735,1.769688984,-3.970371515,-2.943358099,-4.753940106,,
49.449,0.014944548,-0.004363346,-0.006421836,-4.62147117,-5.519547956,26.8240853,-5.670444741,1.3107412,1.496211623,-3.978912893,-2.983607612,-4.611731552,,
49.4648,0.014878931,-0.004377559,-0.002862729,-4.244890673,-5.522329727,26.1619775,-5.672783793,1.2639768,1.731446491,-3.98838648,-3.024409836,-4.620719299,,
49.4798,0.014813322,-0.00440117,0.002484246,-3.780071455,-5.52695086,25.5027441,-5.676655562,1.2150966,1.733510289,-3.996182957,-3.0639484,-4.538462585,,
49.4949,0.014746986,-0.004432222,0.007427125,-3.339614858,-5.533028348,24.8452911,-5.681721305,1.1644183,1.446363549,-3.999801139,-3.100155373,-4.172549643,,
49.5105,0.014678451,-0.004461809,0.009687822,-3.040588133,-5.538819024,24.1898751,-5.686520559,1.1137411,1.342090971,-3.997695477,-3.131228956,-3.605343363,,
49.5257,0.014606801,-0.004475655,0.008431039,-2.958503674,-5.541529022,23.5388194,-5.688757468,1.0660823,1.912073476,-3.989761359,-3.156148903,-3.183320802,,
49.5416,0.014533005,-0.004461964,0.004570388,-3.125041061,-5.538849405,22.8960569,-5.686545669,1.0240809,1.785380302,-3.977335934,-3.174973392,-3.038842676,,
49.5568,0.014459868,-0.004418261,2.67E-05,-3.547118485,-5.53029592,22.2657203,-5.679447423,0.9885325,1.499240002,-3.962973857,-3.188902127,-2.996935841,,
49.5729,0.014390319,-0.004353594,-0.003395162,-4.205916237,-5.517639342,21.6505051,-5.66883622,0.9578344,1.5583144,-3.950222191,-3.200200856,-3.087637384,,
49.589,0.014325377,-0.004289743,-0.004911329,-5.030149836,-5.505142326,21.0499559,-5.658229663,0.9276155,1.563898324,-3.94329065,-3.2120043,-3.413049078,,
49.6045,0.014263381,-0.004260119,-0.004899694,-5.880176916,-5.499344453,20.4589991,-5.653264406,0.8908405,1.580415921,-3.946363539,-3.227903265,-4.007862401,,
49.6194,0.014200882,-0.004298063,-0.004206235,-6.580433638,-5.506770827,19.8681601,-5.659619197,0.8401555,1.514031499,-3.962557408,-3.25127196,-4.841509041,,
49.6348,0.014134502,-0.004415945,-0.003459142,-6.996399038,-5.529842642,19.2666191,-5.679069634,0.7722838,1.458590258,-3.992966068,-3.284501885,-5.771563236,,
49.6498,0.014062768,-0.004593948,-0.003280979,-7.101518424,-5.564681249,18.6466319,-5.707635797,0.6905945,1.377844564,-4.036410459,-3.328485757,-6.523930405,,
49.6656,0.013986823,-0.004793586,-0.004841109,-6.967222588,-5.603754189,18.0059119,-5.738589442,0.6025802,1.252959595,-4.090119657,-3.382621275,-6.992052559,,
49.6811,0.013909013,-0.004983177,-0.009160498,-6.669614832,-5.640860767,17.3464893,-5.76699164,0.514687,1.662199017,-4.150798949,-3.445243945,-7.209828281,,
49.6967,0.013829754,-0.005147406,-0.015158122,-6.198245546,-5.673003651,16.6723559,-5.790859275,0.4302354,1.405368013,-4.215139556,-3.514029175,-7.17311273,,
49.7125,0.013745463,-0.005274719,-0.018970174,-5.470915741,-5.697921206,15.988866,-5.808916107,0.3519085,1.230728585,-4.279381864,-3.585941872,-6.871957124,,
49.728,0.013650775,-0.005345813,-0.016544101,-4.460596922,-5.711835609,15.3036425,-5.81883641,0.2841328,1.127152992,-4.338639279,-3.656842992,-6.867725805,,
49.7438,0.013544398,-0.005343124,-0.007596015,-3.316102481,-5.711309277,14.6262166,-5.818463242,0.2311619,1.089255992,-4.387173114,-3.721418818,-6.03655588,,
49.7759,0.013432924,-0.005270323,0.003397236,-2.34411788,-5.697060718,13.965249,-5.808298835,0.1929609,1.219287275,-4.420039831,-3.774052013,-4.906325395,,
49.7919,0.013327782,-0.0051554,0.010673574,-1.849045918,-5.674568261,13.3255559,-5.792004332,0.1643465,1.269636033,-4.434924648,-3.81050041,-3.845826842,,
49.8076,0.013237538,-0.00503171,0.011686516,-1.965568394,-5.650359586,12.7076581,-5.774114165,0.1387286,1.101637875,-4.433843122,-3.829460615,-3.193358046,,
49.8233,0.013162662,-0.004919771,0.008282832,-2.610662622,-5.628450945,12.1095648,-5.757596682,0.1118814,1.198298299,-4.422195878,-3.833071101,-2.820863704,,
49.8388,0.013096592,-0.004831074,0.004072103,-3.554955217,-5.611091361,11.527984,-5.74428019,0.0812723,1.269760858,-4.406666182,-3.826145911,-2.46084535,,
49.8543,0.013030673,-0.004785452,0.001172137,-4.531274779,-5.602162255,10.9573877,-5.737349759,0.0425006,1.190356448,-4.393498882,-3.814654817,-2.499896523,,
49.8696,0.012958573,-0.004813255,-0.000664808,-5.320383921,-5.607603807,10.3888705,-5.741579906,-0.0112425,0.863559054,-4.38711548,-3.804148583,-3.115981177,,
49.8848,0.012878264,-0.004931151,-0.002508383,-5.79693251,-5.630678233,9.8119082,-5.759290432,-0.0841928,0.906919843,-4.389516544,-3.798619984,-3.765827283,,
49.9006,0.012791768,-0.00511746,-0.004530334,-5.928103376,-5.667142524,9.2188914,-5.786556204,-0.1726931,1.026404208,-4.400411543,-3.800003557,-4.046860799,,
49.9164,0.012703209,-0.005319478,-0.005803021,-5.729513164,-5.706681407,8.6085716,-5.815175083,-0.2663503,0.874540022,-4.417765142,-3.80823185,-4.535075828,,
49.9321,0.012616064,-0.005488068,-0.005241685,-5.220806019,-5.739677749,7.9853609,-5.838348079,-0.3549953,0.887395747,-4.438302776,-3.821541878,-5.393463619,,
49.9477,0.012531327,-0.00560371,-0.002467116,-4.433411563,-5.762311118,7.35571,-5.853887822,-0.434193,0.775497429,-4.457768523,-3.836754538,-5.753905845,,
49.9635,0.012447788,-0.005673265,0.001835479,-3.463353659,-5.77592433,6.7250523,-5.863100019,-0.5048564,0.751381974,-4.471246602,-3.84956768,-5.14157711,,
49.9794,0.012363751,-0.005710442,0.005933903,-2.496892932,-5.783200654,6.0970892,-5.867983468,-0.5694061,0.960086311,-4.474000433,-3.85516231,-5.108889572,,
49.9947,0.012278525,-0.005720827,0.007738642,-1.757537301,-5.785233104,5.4747578,-5.869342545,-0.6286922,0.768049345,-4.462760009,-3.849254845,-4.578107514,,
