time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,,
1.93522,-0.010575057,-0.00013617,-0.002612721,5.452035154,-3.902245598,-8.78E-01,-3.759523927,-0.9044162,0,-1.856123576,-1.742357779,3.906950725,,,
1.95064,-0.010572655,-7.86E-05,-0.000462296,5.942589664,-3.868756703,-8.79E-01,-3.636937478,-0.8937053,0,-1.685624618,-1.555029732,4.92098696,,,
1.96658,-0.010568848,6.18E-06,0.002098597,6.240216597,3.826581155,-8.79E-01,3.35159051,-0.8766939,0.052911258,1.535810246,-1.357031447,4.163679037,,,
1.98245,-0.010563831,0.000101621,0.004115351,6.385633038,3.88213533,-8.78E-01,3.690242606,-0.8565695,0.066413041,1.48531466,-1.149989553,3.008835861,,,
1.99837,-0.010558057,0.000184672,0.005069252,6.467913228,3.930478096,-8.76E-01,3.842457269,-0.8380932,0.067576223,1.451279845,-0.935943471,5.250812529,,,
2.01428,-0.01055195,0.000238061,0.004927094,6.566003311,3.961554309,-8.73E-01,3.921055994,-0.8250204,0.107314033,1.435624207,-0.716871365,7.351770149,,,
2.03013,-0.010545638,0.000259299,0.003838185,6.700273505,3.973916556,-8.71E-01,3.94961765,-0.8181711,0.108985686,1.438822366,-0.494331169,7.926569883,,,
2.0448,-0.010538937,0.000260765,0.001981836,6.833389781,3.97477028,-8.68E-01,3.951541978,-0.8152651,0.15536985,1.460800401,-0.269385378,7.681240312,,,
2.06035,-0.010531601,0.00026056,-0.00029557,6.914941894,3.974650927,-8.66E-01,3.951273309,-0.8126958,0.194192233,1.501020379,-0.042765945,7.24565964,,,
2.07626,-0.010523655,0.000269749,-0.002441088,6.929597148,3.979999695,-8.63E-01,3.963201782,-0.8081539,0.20062264,1.558395706,0.184912864,6.911572205,,,
2.09135,-0.010515507,0.000285412,-0.003948557,6.910642564,3.98911641,-8.60E-01,3.983029377,-0.8021592,0.17967579,1.631453251,0.41307013,6.749865161,,,
2.10751,-0.0105077,0.000295743,-0.00460443,6.911177263,3.995129859,-8.57E-01,3.995781439,-0.7971284,0.258061133,1.718751685,0.641240932,6.723314399,,,
2.12313,-0.010500504,0.000292922,-0.004494127,6.958172258,3.99348774,-8.54E-01,3.992323897,-0.7947587,0.250770405,1.819269254,0.869217002,6.773770382,,,
2.13832,-0.010493681,0.000281687,-0.003898764,7.026855802,3.986948574,-8.51E-01,3.97837001,-0.7941857,0.36148763,1.932463696,1.097079565,6.861705404,,,
2.15424,-0.010486644,0.000275697,-0.003183524,7.05739964,3.98346162,-8.49E-01,3.970803731,-0.7926231,0.381442203,2.05794994,1.325030628,6.961942092,,,
