time,q1,dq1,ddq1,q1_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,
2.04421,-0.003478346,-0.000344731,-0.005863186,-1.430896278,-2.814665606,-0.5511407,-3.848668052,-0.2515633,-0.4476841,-1.996275413,-1.784998653,-1.650707372,,
2.05971,-0.003482018,-0.000333974,-0.004124895,-1.425279899,-2.80184648,-0.5608666,-3.830667984,-0.2527504,-0.358303694,-1.982870056,-1.768113885,-1.608017826,,
2.076,-0.003485747,-0.000318289,-0.002034896,-1.444337135,-2.783156867,-0.5701242,-3.803800043,-0.2527956,-0.576971488,-1.96798705,-1.750424217,-1.567515589,,
2.09176,-0.003489752,-0.000308072,-0.000490633,-1.439957002,-2.770982533,-0.579074,-3.785876461,-0.253832,-0.417542593,-1.952031758,-1.732168459,-1.534087197,,
2.10722,-0.003494067,-0.00030712,6.73E-05,-1.379821868,-2.769848066,-0.5879858,-3.784188558,-0.2567115,-0.502205183,-1.93519476,-1.713478541,-1.507646037,,
2.12317,-0.003498465,-0.000311864,-0.000388166,-1.278078301,-2.775500293,-0.5970249,-3.79256792,-0.2607772,-0.554425118,-1.917274091,-1.694275526,-1.480451272,,
2.13875,-0.003502643,-0.000315418,-0.001434773,-1.189453399,-2.779735801,-0.6061563,-3.79879802,-0.2646407,-0.590270914,-1.897837939,-1.67434472,-1.445138234,,
2.15414,-0.003506447,-0.000311914,-0.002195551,-1.169442206,-2.775560193,-0.6151756,-3.792656318,-0.2670577,-0.534023159,-1.876634812,-1.653546594,-1.400516698,,
2.16965,-0.003509913,-0.000299484,-0.001795372,-1.232584499,-2.760749111,-0.6238254,-3.770538295,-0.2675657,-0.69979231,-1.853939717,-1.632004381,-1.354748755,,
2.18492,-0.003513186,-0.000282464,-0.000210752,-1.341185499,-2.74046794,-0.6319746,-3.73936053,-0.2669857,-0.52818413,-1.830558404,-1.610122949,-1.320203085,,
2.20034,-0.00351646,-0.000271224,0.001365823,-1.430374955,-2.727074198,-0.6397912,-3.718164752,-0.2674491,-0.762330308,-1.807625222,-1.588421028,-1.305960172,,
2.2157,-0.003519966,-0.000276821,0.001381948,-1.448163758,-2.733743395,-0.647761,-3.728781554,-0.2713351,-0.66287171,-1.78580514,-1.567289657,-1.311927912,,
