time,q3,dq3,ddq3,q3_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,
155.722,0.005278944,-0.000655601,-0.009586856,-3.758918257,-4.273839265,20.2395677,-4.469013689,3.5209979,4.716904048,-3.697455675,3.939706817,-3.344667406,,
155.737,0.005266203,-0.000820876,-0.011824373,-4.118874086,-4.385739123,20.0535483,-4.620978367,3.4795609,4.274144147,-3.601411786,3.850200596,-4.372385622,,
155.754,0.005252748,-0.000952053,-0.013612027,-4.391734122,-4.474552272,19.8392356,-4.728106657,3.4436479,4.015614114,-3.519740644,3.74610517,-4.797624887,,
155.769,0.005237866,-0.00105939,-0.013511854,-4.62445177,-4.54722531,19.6025907,-4.808795663,3.4114397,3.894908119,-3.452214732,3.628776111,-4.868355479,,
155.784,0.005220544,-0.001151247,-0.010640355,-4.88958096,-4.609417272,19.3476145,-4.873652694,3.3814145,4.142974253,-3.39858442,3.499644327,-4.81845846,,
155.799,0.005200641,-0.001226282,-0.006110046,-5.234322895,-4.660219884,19.0785193,-4.924109687,3.3540108,4.351225888,-3.359054622,3.360011628,-4.818458635,,
155.815,0.005179236,-0.001283441,-0.002768749,-5.623161235,-4.698919579,18.7996293,-4.961166451,3.3296198,4.157287548,-3.334346441,3.2109432,-4.818458802,,
155.83,0.005157747,-0.001332409,-0.00299116,-5.960817641,-4.732073312,18.5130411,-4.992032459,3.3063804,4.288805367,-3.32506109,3.053395308,-5.074813123,,
155.845,0.00513664,-0.001390939,-0.00660638,-6.182448622,-4.77170112,18.2170042,-5.027927151,3.2806339,3.286857994,-3.330919127,2.888478613,-5.512716165,,
155.861,0.005114891,-0.001474315,-0.01103627,-6.304130879,-4.828150907,17.9066427,-5.077311317,3.2490638,4.452931055,-3.350679362,2.717597847,-5.512716544,,
155.876,0.005090648,-0.0015871,-0.013247943,-6.376360496,-4.90451238,17.5763778,-5.141130455,3.2104593,4.602346792,-3.382737711,2.542358167,-5.985266541,,
155.891,0.005062573,-0.001718483,-0.011445679,-6.41409829,-4.993465565,17.2231707,-5.211596136,3.1668033,3.567635782,-3.425618529,2.364394759,-6.314824156,,
155.906,0.005030899,-0.001841864,-0.005567087,-6.404505883,-5.077000866,16.849614,-5.274385775,3.123514,3.830715517,-3.477886712,2.185309014,-6.314824746,,
155.922,0.004997372,-0.001926305,0.002651744,-6.377019219,-5.134171831,16.4644353,-5.315649753,3.0871895,3.410957332,-3.537953798,2.006672279,-6.506473405,,
155.938,0.004964073,-0.001959835,0.00981664,-6.424189305,-5.156873427,16.0782852,-5.331675155,3.0607427,4.040284477,-3.604442221,1.829929527,-6.563512121,,
155.953,0.004932062,-0.001964832,0.01230667,-6.623007095,-5.16025663,15.6968713,-5.334046476,3.0399706,3.433551814,-3.676906636,1.656192165,-6.54808313,,
155.968,0.004900856,-0.001985752,0.00889675,-6.941064251,-5.174420713,15.3170658,-5.343927285,3.0157946,3.220101394,-3.755164022,1.486122263,-6.548083202,,
155.984,0.004868993,-0.002056992,0.00208302,-7.237799085,-5.222654109,14.9294404,-5.377020571,2.9808092,3.848806374,-3.841155224,1.320071786,-6.661418861,,
155.999,0.004835083,-0.002178917,-0.003634036,-7.36510569,-5.305203442,14.5250697,-5.431775814,2.9344331,3.584203867,-3.935019496,1.158390933,-6.889674864,,
156.014,0.00479861,-0.002319876,-0.004957245,-7.274135075,-5.400640186,14.1014066,-5.492350114,2.8828249,3.620447562,-4.035260127,1.001656287,-7.146249602,,
156.03,0.004760094,-0.002440118,-0.001794468,-7.038947412,-5.482050068,13.6632917,-5.541906679,2.8341665,4.169267891,-4.139271208,0.850649845,-7.312854316,,
156.045,0.004720591,-0.002520879,0.00297414,-6.780656462,-5.536729979,13.2186287,-5.574179341,2.792617,3.633922865,-4.244404811,0.706134952,-7.314089517,,
156.06,0.004680906,-0.002577332,0.005548965,-6.555767764,-5.574951442,12.7721877,-5.596280876,2.7553774,3.880983179,-4.348772172,0.568627669,-7.128325916,,
156.076,0.00464105,-0.00263987,0.004024385,-6.312308142,-5.617292574,12.3232512,-5.620343278,2.7162911,3.609650306,-4.45111807,0.438340793,-6.83528342,,
156.091,0.004600388,-0.002715066,-2.20E-05,-5.96762931,-5.668204645,11.8700716,-5.648712695,2.6739129,3.294423237,-4.549994235,0.315308298,-6.505936856,,
156.106,0.004558357,-0.002767592,-0.0030354,-5.533994018,-5.703766957,11.4168366,-5.668177152,2.6355553,3.243019109,-4.643256475,0.199528588,-6.153079788,,
156.121,0.004515187,-0.002752324,-0.003127972,-5.145795305,-5.693430355,10.9746861,-5.662548752,2.6109459,3.071044418,-4.728662275,0.090961344,-5.760230277,,
156.136,0.004471982,-0.002667767,-0.001956948,-4.942155055,-5.636180789,10.5541609,-5.630938783,2.6010805,3.420054675,-4.805099302,-0.010614737,-5.348571729,,
156.153,0.004430064,-0.002567271,-0.002477883,-4.933310426,-5.568139725,10.1567708,-5.592368827,2.5954217,3.341198317,-4.873133107,-0.105713429,-5.000915265,,
156.168,0.004390128,-0.002510102,-0.005275458,-5.0048399,-5.529432879,9.7749108,-5.569917662,2.5816508,3.225956529,-4.934250027,-0.19508129,-4.803459564,,
156.184,0.004351937,-0.002508531,-0.008013984,-5.046100855,-5.528369245,9.3996522,-5.56929533,2.5567485,3.568579745,-4.989622622,-0.279510292,-4.7751204,,
156.2,0.004314672,-0.002530354,-0.008386627,-5.043549612,-5.543145055,9.0273842,-5.577914629,2.5269374,3.190162737,-5.033852438,-0.359689585,-4.855666665,,
156.215,0.004277502,-0.002544286,-0.006532113,-5.04342884,-5.552577527,8.6592556,-5.583387836,2.4985701,3.2366147,-5.03390633,-0.436192908,-4.961610703,,
156.23,0.004239901,-0.002547681,-0.004175777,-5.064582204,-5.554875796,8.2967147,-5.584718,2.4722827,3.157013964,-5.033956259,-0.509539144,-5.043180789,,
156.245,0.004201681,-0.002550726,-0.002362235,-5.090325896,-5.556937965,7.9396858,-5.585910384,2.4460358,3.651883638,-5.034117796,-0.580216228,-5.091446353,,
156.26,0.004162866,-0.002550399,-0.000927648,-5.138606863,-5.556716176,7.5885099,-5.585782193,2.4204698,3.001501012,-5.034415791,-0.648661898,-5.09144637,,
156.276,0.004123594,-0.002531548,0.000301063,-5.2940479,-5.543953306,7.2455546,-5.578384503,2.3988078,2.660366246,-5.034969015,-0.715289517,-5.132063196,,
156.291,0.004084131,-0.002488625,0.001009611,-5.638606852,-5.514891739,6.9137717,-5.561384254,2.3824041,2.933399088,-5.036344247,-0.780597948,-5.208990468,,
