time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
0.154,-0.785389,-0.000702512,0,-0.0228331,-0.334169224,-0.003247884,-0.342214692,-0.001719745,0,0.017228003,-0.017005479,-0.059795342
0.157,-0.785388,-0.000146284,0,-0.0465946,-0.3343845,-0.003391896,-0.341675314,-0.000622284,0,0.017688256,-0.017446814,-0.011856778
0.159,-0.785387,-6.50E-05,0,-0.0465593,-0.334415959,-0.003455842,-0.341594643,-0.000466284,0,0.017977274,-0.017771915,-0.018723909
0.161,-0.78539,-2.89E-05,0,-0.0466461,-0.334429931,-0.003484265,-0.341558664,-0.000397006,0,0.018094151,-0.018094674,-0.036090415
0.164,-0.785388,-0.000410704,0,-0.0465698,-0.334282162,-0.003888129,-0.341934478,-0.001201256,0,0.018047517,-0.018313265,-0.028731962
0.166,-0.785383,0.00102389,0,-0.0979904,0.334044841,-0.002845079,0.342516271,0.00177114,0,0.10924041,-0.019027943,-0.064132535
0.169,-0.785387,-0.00051122,0,-0.0465441,-0.334243259,-0.003349343,-0.342031686,-0.001350856,0,0.017671703,-0.019029771,-0.061124571
0.171,-0.785387,-0.000227209,0,-0.0465451,-0.334353179,-0.003572914,-0.34175516,-0.000805735,0,0.017516988,-0.019517625,-0.02455055
0.173,-0.78539,-0.00121461,0,0.000964043,-0.333971027,-0.004766782,-0.342691756,-0.002900822,0,0.017297845,-0.01965874,-0.032995612
0.176,-0.785386,0.000691873,0,-0.0703021,0.334173341,-0.004059023,0.342204583,0.000981098,0,0.106218365,-0.020499274,-0.06969238
0.177,-0.785386,0.000461248,0,-0.0702928,0.3342626,-0.003588764,0.341983449,0.000565619,0,0.10517867,-0.02080438,-0.089584602
0.18,-0.785387,0.00032227,0,-0.0465198,0.334316388,-0.003260929,0.341848357,0.000319718,0,0.103688465,-0.021169615,-0.073557003
0.183,-0.785387,0.000404827,0,-0.0465272,0.334284436,-0.002849752,0.341928772,0.0005254,0,0.101975916,-0.021587874,-0.062715619
0.185,-0.785387,0.000551131,0,-0.0465324,0.334227813,-0.00229107,0.342070084,0.000873238,0,0.100073908,-0.022016549,-0.061560228
