time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
30.298,-0.659854,0.000999985,0,0.135933,0.334054093,0.300225727,0.342494092,0.329615044,0.186539279,0.142887584,0.189787165,0.179947145
30.301,-0.659845,0.00215227,0,0.0618291,0.333608127,0.300291665,0.343516782,0.330816904,0.125003143,0.142561481,0.181349199,0.170993034
30.303,-0.659848,0.000189075,0,0.113962,0.334367938,0.300297442,0.341717593,0.328782788,0.145487468,0.142251767,0.182143435,0.171542151
30.306,-0.659841,0.00205004,0,0.0913572,0.333647692,0.300360066,0.343429877,0.330719171,0.155708306,0.141927541,0.170020129,0.168501686
30.308,-0.659835,0.00155652,0,0.0644386,0.333838699,0.300407493,0.342999858,0.330213577,0.185078897,0.14163056,0.165168721,0.136990159
30.31,-0.659828,0.00155364,0,0.0177043,0.333839813,0.300454741,0.342997298,0.330216268,0.172820221,0.141333326,0.158124631,0.15236792
30.313,-0.659824,-0.000396223,0,0.0664555,-0.334287766,0.299341723,-0.341920414,0.327353818,0.174987902,-0.266337246,0.156582655,0.211428694
30.315,-0.659818,0.00294025,0,0.0435317,0.333303156,0.299435053,0.344161649,0.33158541,0.199821539,0.140772704,0.137403482,0.120308869
30.317,-0.659817,0.00234758,0,0.11962,0.333532536,0.299509294,0.343680743,0.330980497,0.176325013,0.140469669,0.130797074,0.104008035
30.32,-0.659808,0.000490891,0,0.120967,0.334251127,0.299524773,0.342012085,0.32905801,0.180318435,0.140214291,0.128833523,0.154182745
30.322,-0.659801,0.000402808,0,0.121875,0.334285218,0.299537466,0.341926811,0.328968158,0.152878787,0.139967208,0.121567157,0.102141129
30.325,-0.65979,0.00521215,0,0.17088,0.332423867,0.299701629,0.345773776,0.333959448,0.178015005,0.139663009,0.098775119,0.100314793
30.327,-0.659782,0.00262843,0,0.195612,0.333423839,0.299783873,0.34391175,0.331301786,0.175422214,0.139474768,0.10137605,0.14573253
30.329,-0.659773,0.00385136,0,0.248153,0.332950531,0.299903987,0.34485219,0.332579638,0.142185085,0.139310885,0.092741255,0.117023826
30.331,-0.659764,0.0038973,0,0.296702,0.332932751,0.300024948,0.344885446,0.332640725,0.185450998,0.139216741,0.089657821,0.134527204
30.334,-0.659747,0.00179783,0,0.298195,0.333745305,0.300080477,0.343212289,0.330475557,0.172025836,0.139229225,0.095609926,0.163608817
30.336,-0.659738,0.00335794,0,0.29914,0.333141498,0.300183959,0.34448555,0.332101975,0.199343388,0.139259347,0.091322052,0.171622686
30.338,-0.659725,0.00320709,0,0.228743,0.333199881,0.30028238,0.344370004,0.331957432,0.168373715,0.139341744,0.094275776,0.20986974
30.341,-0.659717,0.000497659,0,0.253741,0.334248508,0.300297592,0.342018614,0.329153264,0.194344925,0.13946647,0.106409819,0.201677072
30.343,-0.659703,0.00335129,0,0.108011,0.333144072,0.300399965,0.344480491,0.332120145,0.190837108,0.139551032,0.101130198,0.218261811
30.345,-0.659697,0.00487742,0,0.10882,0.332553417,0.300548339,0.345559257,0.333711179,0.171657831,0.139571099,0.099652509,0.230097423
